A1;-0,00763815;0,01656799;0,003001384;-0,006751454;-0,00584833
A10;0,03617026;-0,01497538;0,01597475;0,01942418;-0,008114153
A11;0,0166092;-0,01296273;-0,003202804;-0,003303067;0,005812456
A12;0,008950267;0,001143943;-0,004865152;-0,01253968;-0,005546328
A13;-0,003832567;0,007319392;0,001533147;0,02330187;0,002844237
A14;0,009460811;-0,01073512;0,004756346;0,001695709;-0,008099357
A15;0,01534608;-0,011587;0,00699791;0,008822525;0,004574524
A16;0,01104039;-0,008046529;-0,003645736;0,01178995;-0,0007408338
A17;0,07625349;-0,05652103;-0,002324154;0,01826989;0,008599852
A18;0,07057429;-0,02895929;0,01152438;0,01574054;-0,001506648
A19;0,06025715;-0,04421126;0,01300865;0,02486092;0,005631398
A2;0,06318535;-0,04041878;0,005038691;0,002469976;0,005114462
A20;0,01663911;-0,007021987;0,001300341;0,01034179;0,002799019
A21;-0,02126197;0,003037931;-0,009528435;0,001385327;0,0009354066
A22;0,02784325;-0,02471764;-0,002508735;0,01725859;-0,003412792
A23;0,03848228;-0,003776276;0,004570041;0,0103825;-0,009128381
A3;0,03346683;-0,01243137;-0,0008761209;-0,01384563;0,001520372
A4;0,009018073;0,001829265;-0,0007919808;0,005783702;-0,005421639
A5;0,01276505;0,00659205;-0,0004581768;-0,01345135;-0,01410311
A6;-0,008305329;0,01651066;0,01204475;0,0008526384;-0,01830234
A7;0,04858069;-0,02924094;-0,007644777;0,02738097;-0,003102421
A8;0,009542865;0,002520311;0,003118307;0,00548469;-0,01286817
A9;0,02393407;-0,01848134;-0,0008079918;0,0110044;0,008130858
B1;-0,03416406;0,02403149;0,009708305;-0,005771347;0,01030524
B10;-0,05270212;0,03405314;0,005330012;-0,004010181;0,003245834
B11;-0,09027731;0,05466067;-0,01596711;-0,02962708;-0,00002268837
B12;-0,04843734;0,01824366;-0,006070851;0,007772884;0,004117832
B13;-0,03094884;0,01159152;-0,004121876;-0,009158615;0,007192736
B14;-0,0222611;0,02991132;0,0009439851;-0,00594835;-0,004465969
B15;-0,07618581;0,03177591;-0,007833536;-0,001037373;0,004113538
B16;-0,04005213;0,02063546;0,01310516;0,01589913;0,0004380666
B17;-0,005895399;0,02561967;0,002434423;-0,0128734;-0,002669882
B18;-0,04994278;0,01501765;-0,0128479;-0,003649606;0,002983031
B19;-0,01741758;0,01710455;-0,00425832;-0,003996946;-0,01363341
B2;-0,04312777;0,03268462;0,007266992;-0,02354625;0,00591887
B20;-0,03053852;0,03238089;0,0104964;-0,00320411;-0,01708477
B21;-0,06014871;0,0271954;-0,01019466;-0,002647766;-0,002485207
